State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection
Ohio,New York,2020-04-09,276.0,ode,0.19999999999999996,0.1,0.75
North Carolina,New Jersey,2020-04-09,196.0,ode,0.19999999999999996,0.1,0.75
Michigan,New York,2020-04-09,163.0,ode,0.19999999999999996,0.1,0.75
Virginia,New Jersey,2020-04-09,142.0,ode,0.19999999999999996,0.1,0.75
Massachusetts,New York,2020-04-09,136.0,ode,0.19999999999999996,0.1,0.75
South Carolina,New Jersey,2020-04-09,106.0,ode,0.19999999999999996,0.1,0.75
Maryland,New Jersey,2020-04-09,100.0,ode,0.19999999999999996,0.1,0.75
Kentucky,New Jersey,2020-04-09,98.0,ode,0.19999999999999996,0.1,0.75
Indiana,New York,2020-04-09,81.0,ode,0.19999999999999996,0.1,0.75
Mississippi,Louisiana,2020-04-09,77.0,ode,0.19999999999999996,0.1,0.75
West Virginia,New Jersey,2020-04-09,54.0,ode,0.19999999999999996,0.1,0.75
Arkansas,Louisiana,2020-04-09,33.0,ode,0.19999999999999996,0.1,0.75
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.75
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.75
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.75
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.1,0.75
Massachusetts,New Jersey,2020-04-09,13.0,ode,0.19999999999999996,0.1,0.75
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.1,0.75
Arkansas,Louisiana,2020-04-10,32.0,ode,0.19999999999999996,0.1,0.75
Federal,New York,2020-04-12,291.0,ode,0.19999999999999996,0.1,0.75
Federal,New Jersey,2020-04-12,46.0,ode,0.19999999999999996,0.1,0.75
Federal,New York,2020-04-13,261.0,ode,0.19999999999999996,0.1,0.75
Federal,New Jersey,2020-04-13,76.0,ode,0.19999999999999996,0.1,0.75
Federal,New Jersey,2020-04-14,240.0,ode,0.19999999999999996,0.1,0.75
Federal,New York,2020-04-14,97.0,ode,0.19999999999999996,0.1,0.75
Federal,New York,2020-04-15,152.0,ode,0.19999999999999996,0.1,0.75
Federal,Louisiana,2020-04-15,92.0,ode,0.19999999999999996,0.1,0.75
Federal,New Jersey,2020-04-15,71.0,ode,0.19999999999999996,0.1,0.75
